Job_title,Company_Name,Location,Job_type,job_requirementData Scientist & BI Developer | Easy System - | New Cairo, Cairo, Egypt | Full TimePart Time | Data Scientist & BI Developer
Data Scientist | Seoudi Supermarket - | Sheikh Zayed, Giza, Egypt | Full Time | Data Scientist
Data Scientist | CYSHIELD - | Sheraton, Cairo, Egypt | Full Time | Data Scientist
Data Scientist | Chefaa IT - | Maadi, Cairo, Egypt | Full Time | Data Scientist
Data & Reporting Lead | Edentech - | Cairo, Egypt | Full Time | Data & Reporting Lead
Sr- Data Engineer | more and more - | Cairo, Egypt | Full Time | Sr- Data Engineer
Big data Expert | Perfect Presentation - | 6th of October, Giza, Egypt | Full Time | Big data Expert
Full Stack Senior Java Developer (Remotely for USA) | Mobile Wave 3 - | Nasr City, Cairo, Egypt | Full Time | Full Stack Senior Java Developer (Remotely for USA)
Cyber Security Data Engineer | Target Recruitment  & HR Solutions  - | Cairo, Egypt | Full TimeShift BasedWork From Home | Cyber Security Data Engineer
Software Data Engineer | Target Recruitment  & HR Solutions  - | Cairo, Egypt | Full Time | Software Data Engineer
Research Software Development Engineer | TensorGraph - | Maadi, Cairo, Egypt | Full Time | Research Software Development Engineer
Marketing Executive | Hamza Group - | Dokki, Giza, Egypt | Full Time | Marketing Executive
Enterprise Architect Lead | Meem Development - | Glim, Alexandria, Egypt | Full Time | Enterprise Architect Lead
Senior AI Engineer | Softec Technologies - | Maadi, Cairo, Egypt | Full Time | Senior AI Engineer
Integration Developer | Perfect Presentation - | 6th of October, Giza, Egypt | Full Time | Integration Developer
